RU;2;592;TransparentCalls;0.98;515;87;24
US;8;1402;E-Voice;0.99;456;66;10
GB;27;88;TransparentCalls;0.85;319;60;11
FR;12;902;TransparentCalls;0.87;312;81;7
BL;61;1529;E-Voice;0.96;644;39;55
AT;46;318;TransparentCalls;0.91;905;72;36
BG;32;1443;E-Voice;0.86;70;47;57
DK;0;1237;JustPhone;0.85;861;85;11
CA;71;906;JustPhone;0.94;919;61;43
ES;13;1332;E-Voice;0.63;455;45;39
CH;46;980;JustPhone;0.94;844;8;54
TR;79;823;TransparentCalls;0.82;607;69;44
PE;58;1536;JustPhone;0.67;710;70;13
NZ;88;1554;JustPhone;0.80;708;59;54
MC;16;1958;E-Voice;0.80;244;82;13
